school,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,traveltime,studytime,failures,activities,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3
GP,F,16.0,U,GT3,2,2,services,services,home,1,1.0,0,no,yes,yes,no,1,2,2,5,6,10.0,11.0,12
GP,M,15.0,U,GT3,2,2,other,other,home,1,1.0,0,no,yes,yes,no,4,2,2,5,8,11.0,12.0,12
GP,M,15.0,U,GT3,4,2,health,services,other,1,1.0,0,no,yes,yes,no,2,2,4,1,0,11.0,11.0,11
GP,M,16.0,U,LE3,3,4,services,other,home,1,2.0,0,yes,yes,yes,no,5,3,3,5,2,12.0,12.0,13
GP,M,16.0,U,GT3,4,4,teacher,teacher,home,1,2.0,0,yes,yes,yes,yes,4,4,5,5,4,12.0,11.0,12
GP,M,15.0,U,GT3,4,4,health,services,home,1,2.0,0,no,yes,yes,no,5,4,2,5,0,10.0,11.0,11
GP,M,15.0,U,GT3,4,4,services,services,reputation,2,2.0,0,yes,yes,yes,no,4,3,1,5,2,15.0,15.0,15
GP,M,15.0,R,GT3,4,3,teacher,at_home,course,1,2.0,0,yes,yes,yes,yes,4,5,2,5,0,13.0,14.0,15
GP,M,15.0,U,LE3,3,3,other,other,course,1,2.0,0,yes,yes,yes,no,5,3,2,2,0,13.0,12.0,12
GP,M,16.0,U,GT3,3,2,other,other,home,1,1.0,0,no,yes,yes,no,5,4,3,5,4,12.0,12.0,12
GP,F,15.0,U,GT3,2,3,other,other,other,2,1.0,0,yes,yes,no,no,3,5,1,5,4,11.0,11.0,11
GP,M,15.0,U,LE3,4,3,teacher,services,home,1,3.0,0,yes,yes,yes,no,5,4,3,4,0,14.0,14.0,14
GP,M,16.0,R,GT3,4,4,other,teacher,reputation,2,3.0,0,yes,yes,yes,yes,2,4,3,5,4,13.0,13.0,13
GP,F,15.0,R,GT3,3,4,services,health,course,1,3.0,0,yes,yes,yes,no,4,3,2,5,2,11.0,12.0,12
GP,F,15.0,R,GT3,2,2,at_home,other,reputation,1,1.0,0,yes,yes,no,no,4,3,1,2,8,14.0,13.0,12
GP,F,16.0,U,LE3,2,2,other,other,home,2,2.0,0,yes,yes,yes,yes,3,3,3,3,16,11.0,11.0,10
GP,M,15.0,U,LE3,4,4,teacher,other,home,1,1.0,0,no,yes,yes,yes,5,4,3,5,8,10.0,11.0,11
GP,M,15.0,U,GT3,4,4,services,teacher,course,1,2.0,0,yes,yes,yes,no,4,3,3,5,0,14.0,15.0,15
GP,M,15.0,U,GT3,2,2,services,services,course,1,1.0,0,no,yes,yes,no,5,4,1,1,0,9.0,10.0,10
GP,F,16.0,U,LE3,2,2,other,at_home,course,2,2.0,1,yes,yes,yes,no,4,3,3,5,14,10.0,11.0,11
GP,F,15.0,U,LE3,4,3,other,other,course,1,2.0,0,yes,yes,yes,yes,5,2,2,5,4,10.0,11.0,11
GP,F,16.0,U,LE3,3,3,other,services,home,1,2.0,0,no,yes,yes,no,2,3,5,3,6,13.0,12.0,13
GP,M,16.0,U,GT3,4,3,health,services,reputation,1,4.0,0,yes,yes,yes,no,4,2,2,2,2,17.0,17.0,17
GP,M,15.0,U,GT3,4,2,teacher,other,home,1,2.0,0,no,yes,no,no,4,3,3,5,4,11.0,12.0,13
GP,F,15.0,U,GT3,4,4,services,teacher,other,1,2.0,0,yes,yes,yes,no,4,4,4,3,2,13.0,12.0,12
GP,F,16.0,U,LE3,2,2,services,services,course,3,2.0,0,no,yes,yes,no,4,3,3,4,0,14.0,13.0,13
GP,F,15.0,U,LE3,4,2,health,other,other,1,2.0,0,no,yes,yes,no,4,3,3,5,0,16.0,14.0,16
GP,M,15.0,U,LE3,4,2,health,health,other,2,1.0,0,no,yes,no,no,5,5,5,5,4,10.0,9.0,9
GP,F,15.0,U,GT3,4,4,services,services,course,1,1.0,0,no,yes,yes,no,3,3,4,5,0,13.0,12.0,12
GP,F,15.0,U,LE3,3,3,other,other,other,1,1.0,0,no,yes,yes,no,5,3,4,1,0,13.0,12.0,13
GP,F,16.0,U,GT3,2,1,other,other,other,1,2.0,0,yes,yes,yes,yes,5,3,4,2,2,12.0,13.0,12
GP,F,15.0,U,GT3,4,3,services,services,reputation,1,2.0,0,yes,yes,yes,no,4,3,2,1,0,15.0,14.0,15
GP,M,15.0,U,GT3,4,4,teacher,health,reputation,1,2.0,0,yes,yes,no,no,3,2,2,5,8,15.0,15.0,16
GP,M,15.0,U,LE3,1,2,other,at_home,home,1,2.0,0,yes,yes,yes,no,4,3,2,5,0,14.0,13.0,14
GP,F,16.0,U,GT3,1,1,services,services,course,4,1.0,0,yes,yes,yes,yes,5,5,5,5,0,10.0,10.0,16
GP,F,16.0,U,LE3,1,2,other,services,reputation,1,2.0,0,yes,yes,yes,no,4,4,3,1,0,13.0,13.0,10
GP,F,16.0,U,GT3,4,3,teacher,health,home,1,3.0,0,yes,yes,yes,no,3,4,4,4,0,14.0,13.0,13
GP,F,15.0,U,LE3,4,3,services,services,reputation,1,2.0,0,yes,yes,yes,yes,4,4,4,2,0,13.0,12.0,12
GP,F,16.0,U,LE3,4,3,teacher,services,course,3,2.0,0,yes,yes,yes,no,5,4,3,1,2,16.0,15.0,16
GP,M,15.0,U,GT3,4,4,other,services,reputation,1,4.0,0,yes,yes,yes,yes,1,3,3,3,0,11.0,12.0,12
GP,F,16.0,U,GT3,3,1,services,other,course,1,4.0,0,no,yes,yes,no,4,3,3,5,0,10.0,9.0,10
GP,F,15.0,R,LE3,2,2,health,services,reputation,2,2.0,0,no,yes,yes,no,4,1,3,4,0,11.0,10.0,11
GP,F,15.0,R,LE3,3,1,other,other,reputation,2,4.0,0,no,yes,yes,no,4,4,2,3,6,15.0,15.0,15
GP,M,16.0,U,GT3,3,1,other,other,reputation,2,4.0,0,no,yes,yes,no,4,3,2,5,2,13.0,11.0,11
GP,M,15.0,U,GT3,4,2,other,other,course,1,4.0,0,no,yes,yes,no,3,3,3,3,0,11.0,9.0,10
GP,F,15.0,R,GT3,1,1,other,other,reputation,1,2.0,0,no,yes,yes,yes,3,3,4,5,2,13.0,11.0,11
GP,M,16.0,U,GT3,3,1,other,other,reputation,1,1.9397781299524564,0,yes,yes,no,no,5,3,2,5,0,13.0,13.0,14
GP,F,16.0,U,GT3,3,3,other,services,home,1,2.0,0,yes,yes,yes,no,4,3,3,5,4,11.0,11.0,11
GP,M,15.0,U,GT3,4,3,teacher,other,home,1,2.0,0,yes,yes,yes,no,4,3,3,5,0,11.0,11.0,11
GP,M,15.0,U,GT3,4,0,teacher,other,course,2,4.0,0,yes,yes,yes,no,3,4,3,1,0,12.0,11.0,11
GP,F,16.0,U,GT3,2,2,other,other,reputation,1,4.0,0,no,yes,yes,yes,5,2,3,3,1,13.0,13.0,13
GP,M,17.0,U,GT3,2,1,other,other,home,2,1.9397781299524564,3,yes,no,yes,no,4,5,1,3,0,9.0,9.0,10
GP,F,16.0,U,GT3,3,4,at_home,other,course,1,2.0,0,no,yes,yes,no,2,4,3,3,14,12.0,11.0,11
GP,M,15.0,U,GT3,2,3,other,services,course,1,1.0,0,yes,yes,yes,yes,3,2,2,3,0,11.0,11.0,12
GP,M,15.0,U,GT3,2,3,other,other,home,1,3.0,0,no,yes,yes,no,5,3,2,5,2,10.0,9.0,9
GP,F,15.0,U,LE3,3,2,services,other,reputation,1,2.0,0,no,yes,yes,no,4,4,4,5,4,12.0,11.0,11
GP,M,15.0,U,LE3,2,2,services,services,home,2,2.0,0,yes,yes,yes,no,5,3,3,4,2,13.0,12.0,13
GP,F,15.0,U,GT3,1,1,other,other,home,1,2.0,0,yes,yes,yes,no,4,3,2,4,2,13.0,12.0,12
GP,F,15.0,U,GT3,4,4,services,services,reputation,2,2.0,0,no,yes,yes,yes,4,4,4,5,4,12.0,11.0,12
GP,F,16.0,U,LE3,2,2,at_home,other,course,1,2.0,0,no,yes,no,no,4,3,4,2,6,13.0,11.0,11
GP,F,15.0,U,GT3,4,2,other,other,reputation,1,3.0,0,yes,yes,yes,no,5,3,3,1,4,15.0,15.0,15
GP,M,16.0,U,GT3,2,2,services,other,reputation,2,2.0,0,yes,yes,yes,no,4,4,2,3,6,12.0,10.0,11
GP,M,16.0,U,LE3,4,4,teacher,health,reputation,1,2.0,0,no,yes,no,no,4,1,3,5,6,9.0,9.0,10
GP,F,16.0,U,GT3,3,3,other,other,home,1,3.0,0,no,yes,yes,yes,4,3,3,4,2,9.0,11.0,11
GP,F,15.0,U,GT3,4,3,services,other,reputation,1,1.0,0,yes,yes,yes,no,4,5,5,1,6,14.0,13.0,13
GP,F,16.0,U,LE3,3,1,other,other,home,1,2.0,0,no,yes,no,no,3,3,3,2,0,12.0,13.0,12
GP,F,16.0,U,GT3,4,2,teacher,services,home,2,2.0,0,yes,yes,yes,no,5,3,3,1,2,13.0,14.0,14
GP,M,15.0,U,LE3,2,2,services,health,reputation,1,4.0,0,yes,yes,yes,no,4,3,4,4,2,11.0,12.0,12
GP,F,15.0,R,GT3,1,1,at_home,other,home,2,4.0,0,yes,yes,yes,no,3,1,2,1,4,13.0,13.0,13
GP,M,16.0,R,GT3,4,3,services,other,reputation,2,1.0,0,yes,yes,yes,no,3,3,3,4,6,9.0,11.0,11
GP,F,16.0,U,GT3,2,1,other,other,course,1,2.0,0,no,yes,no,yes,4,3,5,5,0,13.0,12.0,12
GP,F,16.0,U,GT3,4,4,other,other,reputation,1,1.0,0,yes,yes,yes,no,5,3,4,1,4,12.0,13.0,13
GP,F,16.0,U,GT3,4,3,other,at_home,course,1,3.0,0,no,yes,yes,no,5,3,5,3,2,12.0,13.0,13
GP,M,16.0,U,GT3,4,4,services,services,other,1,1.0,0,yes,yes,yes,no,4,5,5,4,12,9.0,9.0,8
GP,M,16.0,U,GT3,4,4,services,teacher,other,1,3.0,0,yes,yes,yes,yes,4,4,3,4,0,16.0,16.0,16
GP,M,15.0,U,GT3,4,4,services,other,course,1,1.9397781299524564,0,yes,yes,yes,no,5,3,3,5,2,12.0,13.0,12
GP,F,15.0,U,GT3,3,2,services,other,home,2,1.9397781299524564,0,no,yes,yes,no,4,3,5,2,16,11.0,10.0,10
GP,M,15.0,U,GT3,3,4,services,other,course,1,1.9397781299524564,0,yes,yes,yes,no,5,4,4,1,0,16.0,16.0,16
GP,F,15.0,U,GT3,3,3,other,health,reputation,1,4.0,0,no,yes,no,no,4,3,3,4,10,10.0,10.0,10
GP,F,15.0,U,GT3,2,2,other,other,course,1,4.0,0,no,yes,yes,no,5,1,2,3,4,10.0,10.0,10
GP,M,16.0,U,GT3,3,3,services,other,home,1,3.0,0,yes,yes,yes,no,5,3,3,5,4,13.0,14.0,14
GP,M,15.0,R,GT3,4,4,other,other,home,4,4.0,0,yes,yes,yes,yes,1,3,5,1,8,12.0,10.0,11
GP,F,16.0,U,LE3,4,4,health,health,other,1,3.0,0,yes,yes,yes,yes,5,4,5,4,2,15.0,15.0,14
GP,M,15.0,U,LE3,4,4,teacher,teacher,course,1,1.0,0,yes,yes,yes,no,5,5,3,4,4,13.0,14.0,14
GP,F,16.0,R,GT3,3,3,services,other,reputation,1,3.0,0,yes,yes,yes,no,4,1,2,2,4,11.0,11.0,11
GP,F,16.0,U,GT3,2,2,at_home,other,home,1,2.0,1,yes,yes,yes,no,3,1,2,5,12,8.0,10.0,10
GP,M,15.0,U,LE3,4,2,teacher,other,course,1,1.0,0,no,yes,yes,no,3,5,2,3,10,18.0,17.0,18
GP,M,15.0,R,GT3,2,1,health,services,reputation,1,2.0,0,yes,yes,yes,yes,5,4,2,5,4,10.0,9.0,10
GP,M,16.0,U,GT3,4,4,teacher,teacher,course,1,2.0,0,yes,yes,yes,no,5,4,4,5,6,16.0,14.0,14
GP,M,15.0,U,GT3,4,4,other,teacher,reputation,2,2.0,0,yes,yes,no,no,4,4,3,2,4,16.0,15.0,16
GP,M,16.0,U,GT3,3,3,other,services,home,2,1.0,0,yes,yes,yes,no,5,4,2,5,6,14.0,14.0,15
GP,M,17.0,R,GT3,1,3,other,other,course,3,2.0,1,yes,yes,yes,no,5,2,4,5,14,12.0,11.0,11
GP,M,15.0,U,GT3,3,4,other,other,reputation,1,1.9397781299524564,0,no,yes,yes,no,3,4,3,4,2,14.0,13.0,14
GP,F,15.0,U,GT3,1,2,at_home,services,course,1,1.9397781299524564,0,no,yes,yes,no,3,2,3,1,0,14.0,14.0,14
GP,M,15.0,U,GT3,2,2,services,services,home,1,4.0,0,yes,yes,yes,no,5,5,4,5,6,14.0,13.0,13
GP,F,16.0,U,LE3,2,4,other,health,course,2,2.0,0,yes,yes,yes,yes,4,2,2,5,2,14.0,12.0,13
GP,M,16.0,U,GT3,4,4,health,other,course,1,1.0,0,yes,yes,yes,no,3,4,4,5,4,12.0,13.0,13
GP,F,16.0,U,GT3,2,2,other,other,home,1,2.0,0,no,yes,yes,yes,5,4,4,5,0,12.0,11.0,11
GP,M,15.0,U,GT3,3,4,services,services,home,1,1.0,0,no,yes,yes,no,5,5,5,5,2,9.0,9.0,9
GP,F,15.0,U,LE3,3,4,other,other,home,1,2.0,0,yes,yes,yes,yes,5,3,2,1,0,10.0,11.0,11
GP,F,19.0,U,GT3,0,1,at_home,other,course,1,2.0,2,no,no,no,no,3,4,2,5,0,9.0,10.0,11
GP,M,16.0,R,GT3,4,4,teacher,teacher,course,1,1.0,0,yes,yes,yes,no,3,5,5,4,8,14.0,14.0,15
GP,M,16.0,U,GT3,2,3,other,other,course,2,3.0,0,no,yes,yes,yes,3,2,3,1,4,13.0,12.0,13
GP,F,15.0,R,GT3,3,4,services,teacher,course,2,3.0,0,no,yes,yes,yes,4,2,2,5,0,10.0,11.0,12
GP,F,18.0,U,GT3,2,1,services,other,reputation,1,2.0,3,yes,no,yes,yes,5,4,5,5,10,10.0,9.0,8
GP,F,17.0,U,LE3,2,1,other,other,course,3,1.0,0,no,yes,yes,no,3,2,2,5,8,11.0,10.0,11
GP,F,15.0,U,GT3,1,1,at_home,other,course,3,1.0,0,yes,yes,yes,yes,4,3,3,4,6,11.0,12.0,13
GP,F,17.0,U,LE3,2,2,other,other,course,1,1.0,0,no,yes,yes,yes,3,4,4,5,2,13.0,12.0,12
GP,F,16.0,U,GT3,3,4,services,other,course,1,1.0,0,no,yes,yes,no,3,2,1,5,12,15.0,13.0,14
GP,M,16.0,U,GT3,2,1,at_home,other,course,4,1.0,0,no,yes,no,no,3,2,1,2,4,9.0,9.0,11
GP,F,16.0,U,GT3,2,2,other,other,home,1,1.0,1,no,yes,no,no,5,3,4,5,12,11.362637362637363,11.0,11
GP,M,15.0,R,GT3,3,4,at_home,teacher,course,4,2.0,0,no,yes,no,yes,5,3,3,5,2,11.362637362637363,11.0,11
GP,F,15.0,U,GT3,4,4,services,at_home,course,1,3.0,0,yes,yes,yes,yes,4,3,3,5,4,13.0,14.0,15
GP,M,17.0,R,GT3,3,4,at_home,other,course,3,2.0,0,no,yes,no,no,5,4,5,5,2,10.0,9.0,10
GP,F,16.0,R,GT3,1,1,at_home,other,course,4,2.0,0,no,yes,no,no,5,1,3,3,0,14.0,13.0,13
GP,M,18.0,U,LE3,3,1,services,services,course,2,1.0,0,yes,yes,yes,yes,3,3,4,4,2,11.0,11.0,12
GP,F,18.0,U,GT3,3,2,other,services,course,1,3.0,0,yes,yes,yes,yes,4,3,3,5,10,12.0,11.0,11
GP,F,16.0,R,GT3,1,1,other,services,reputation,2,1.0,0,yes,yes,no,yes,3,3,3,1,8,12.0,11.0,11
GP,F,16.0,U,GT3,3,3,other,other,course,2,1.0,0,yes,yes,yes,yes,4,3,2,5,4,9.0,9.0,10
GP,M,16.0,U,LE3,1,1,services,other,course,1,2.0,2,no,yes,no,yes,4,4,4,5,0,10.0,10.0,10
GP,F,15.0,U,GT3,4,4,teacher,teacher,course,2,1.0,0,yes,yes,yes,no,4,3,2,5,6,13.0,14.0,14
GP,F,15.0,R,GT3,1,1,other,other,course,3,1.0,1,yes,yes,yes,yes,5,5,5,1,2,8.0,9.0,9
GP,M,15.0,U,GT3,4,3,teacher,services,course,2,4.0,0,no,yes,yes,no,2,2,2,3,6,9.0,11.0,11
GP,F,15.0,U,GT3,3,3,service,services,home,1,2.0,0,no,yes,no,yes,1,3,2,1,24,9.0,8.0,9
GP,M,16.0,U,GT3,4,4,service,services,course,1,3.0,0,yes,yes,yes,no,5,3,3,5,0,15.0,13.0,13
GP,M,16.0,U,LE3,2,2,service,services,reputation,2,1.0,0,yes,yes,yes,no,2,3,3,2,4,12.0,11.0,11
GP,F,15.0,U,GT3,4,4,teacher,services,course,1,3.0,0,yes,yes,yes,no,4,2,2,5,2,13.0,13.0,13
GP,F,16.0,U,LE3,1,1,at_home,at_home,course,1,1.0,0,no,yes,yes,no,3,4,4,1,4,10.0,11.0,11
GP,M,17.0,U,GT3,2,1,other,other,home,1,1.0,0,no,yes,yes,no,5,4,5,5,22,9.0,7.0,6
GP,F,15.0,U,GT3,1,1,other,services,course,1,2.0,0,no,yes,yes,no,4,4,2,5,0,12.0,12.0,12
GP,F,15.0,U,LE3,2,1,at_home,other,home,2,1.0,0,yes,no,yes,yes,4,4,2,5,0,11.0,10.0,10
GP,F,15.0,U,GT3,3,2,health,services,home,1,2.0,1,no,yes,yes,no,3,3,2,3,2,11.0,11.0,11
GP,F,15.0,U,GT3,1,2,at_home,other,course,1,2.0,0,no,yes,yes,no,4,3,2,5,6,13.0,12.0,13
GP,F,15.0,U,GT3,1,2,at_home,services,course,1,2.0,0,no,yes,no,yes,2,3,4,1,6,11.0,11.0,11
GP,M,16.0,U,GT3,4,4,teacher,teacher,course,1,1.0,0,no,no,yes,yes,3,3,2,5,16,9.0,9.0,8
GP,M,15.0,U,LE3,2,1,services,other,course,4,1.0,0,no,yes,yes,no,4,5,5,5,0,12.0,11.0,11
GP,M,18.0,U,LE3,1,1,other,other,course,1,1.0,2,no,no,yes,yes,2,3,5,4,0,11.0,9.0,0
GP,M,16.0,U,LE3,2,1,at_home,other,course,1,1.0,1,yes,yes,no,yes,4,4,4,5,6,9.0,10.0,10
GP,F,15.0,R,GT3,3,3,services,services,reputation,2,3.0,0,yes,yes,yes,yes,4,2,1,3,2,13.0,13.0,13
GP,M,19.0,U,GT3,3,2,services,at_home,home,1,1.0,0,no,no,yes,yes,4,5,4,4,6,11.0,9.0,11
GP,F,17.0,U,GT3,4,4,other,teacher,course,1,1.0,0,no,yes,no,yes,4,2,1,4,0,13.0,13.0,13
GP,M,15.0,R,GT3,2,3,at_home,services,course,1,2.0,0,yes,yes,no,no,4,4,4,1,0,7.0,8.0,8
GP,M,17.0,R,LE3,1,2,other,other,reputation,1,1.0,3,no,yes,no,no,2,2,2,5,14,9.0,8.0,10
GP,F,18.0,R,GT3,1,1,at_home,other,course,3,1.0,3,yes,yes,no,no,5,2,5,4,6,11.0,10.0,11
GP,M,16.0,R,GT3,2,2,at_home,other,course,3,1.0,0,no,yes,no,no,4,2,2,3,4,12.0,10.0,11
GP,M,16.0,U,GT3,3,3,other,services,course,1,2.0,1,no,yes,yes,yes,4,5,5,5,0,10.0,10.0,1
GP,M,16.0,U,LE3,1,2,health,services,course,2,1.0,2,no,yes,yes,no,4,4,5,5,0,9.0,8.0,10
GP,M,17.0,R,LE3,2,1,at_home,other,course,2,1.0,1,yes,no,yes,yes,3,3,2,5,8,8.0,8.0,9
GP,M,17.0,R,GT3,3,2,other,other,course,2,2.0,2,no,yes,yes,yes,4,4,4,3,4,7.0,6.0,8
GP,M,15.0,U,LE3,1,2,other,other,course,2,1.0,0,yes,yes,no,no,4,4,4,5,2,8.0,9.0,10
GP,M,16.0,U,GT3,1,3,at_home,services,course,1,1.0,1,no,no,yes,no,5,3,3,2,2,9.0,8.0,8
GP,M,17.0,R,LE3,1,1,other,services,course,4,2.0,0,yes,no,no,yes,5,3,5,5,0,8.0,8.0,8
GP,M,17.0,U,GT3,3,2,services,services,course,2,1.0,3,yes,no,no,no,4,5,2,2,10,8.0,7.0,8
GP,M,16.0,U,GT3,2,2,other,other,course,1,2.0,0,no,no,yes,no,4,3,5,4,0,9.0,10.0,11
GP,F,16.0,U,GT3,4,2,health,services,home,1,2.0,0,no,yes,yes,yes,4,2,3,3,0,17.0,17.0,18
GP,F,16.0,U,GT3,2,2,other,other,home,1,2.0,0,no,yes,yes,no,5,1,5,4,0,12.0,12.0,13
GP,F,16.0,U,GT3,4,4,health,health,reputation,1,2.0,0,no,yes,yes,yes,4,4,2,3,0,16.0,16.0,17
GP,M,16.0,U,GT3,3,4,other,other,course,3,1.0,1,yes,yes,yes,no,3,4,5,2,4,9.0,9.0,10
GP,M,16.0,U,GT3,1,0,other,other,reputation,2,2.0,0,yes,yes,yes,yes,4,3,2,3,0,16.0,17.0,18
GP,M,17.0,U,LE3,4,4,teacher,other,reputation,1,2.0,0,yes,yes,yes,no,4,4,4,5,0,11.0,9.0,10
GP,F,16.0,U,GT3,1,3,at_home,services,home,1,2.0,0,yes,yes,yes,yes,4,3,5,3,0,14.0,13.0,13
GP,F,16.0,U,LE3,3,3,other,other,reputation,2,2.0,0,yes,yes,yes,no,4,4,5,4,0,14.0,14.0,15
GP,M,17.0,U,LE3,4,3,teacher,other,course,2,2.0,0,yes,yes,yes,no,4,4,4,4,0,10.0,11.0,11
GP,F,16.0,U,GT3,2,2,services,other,reputation,2,2.0,0,yes,yes,yes,no,3,4,4,5,0,13.0,12.0,14
GP,M,17.0,U,GT3,3,3,other,other,reputation,1,2.0,0,yes,yes,yes,no,4,3,4,4,4,11.0,9.0,10
GP,M,16.0,R,GT3,4,2,teacher,services,other,1,1.0,0,yes,yes,yes,yes,4,3,3,3,8,10.0,9.0,11
GP,M,17.0,U,GT3,4,3,other,other,course,1,2.0,0,yes,yes,yes,yes,5,2,3,2,4,11.0,11.0,13
GP,M,16.0,U,GT3,4,3,teacher,other,home,1,2.0,0,yes,yes,yes,no,3,4,3,3,4,11.0,10.0,11
GP,M,16.0,U,GT3,3,3,services,other,home,1,2.0,0,yes,yes,yes,yes,4,2,3,3,0,11.0,12.0,13
GP,F,17.0,U,GT3,2,4,services,services,reputation,1,2.0,0,yes,yes,no,no,5,4,2,5,0,17.0,18.0,17
GP,F,17.0,U,LE3,3,3,other,other,reputation,1,2.0,0,yes,yes,yes,yes,5,3,3,1,32,14.0,13.0,14
GP,F,16.0,U,GT3,3,2,other,other,reputation,1,2.0,0,no,yes,yes,no,1,2,2,1,8,14.0,15.0,16
GP,M,17.0,U,GT3,3,3,services,services,other,1,2.0,0,yes,yes,yes,yes,4,3,4,4,6,11.0,13.0,14
GP,M,16.0,U,GT3,1,2,services,services,other,1,1.0,0,yes,yes,yes,yes,3,3,3,3,0,10.0,9.0,11
GP,M,16.0,U,LE3,2,1,other,other,course,1,2.0,0,yes,yes,yes,yes,4,2,3,5,0,13.0,14.0,16
GP,F,17.0,U,GT3,3,3,health,other,reputation,1,2.0,0,no,yes,yes,yes,3,3,3,3,10,12.0,13.0,14
GP,M,17.0,R,GT3,1,2,at_home,other,home,1,2.0,0,no,yes,no,no,3,1,3,3,6,9.0,9.0,10
GP,F,16.0,U,GT3,2,3,services,services,course,1,2.0,0,no,yes,yes,no,4,3,3,2,6,12.0,12.0,13
GP,F,17.0,U,GT3,1,1,at_home,services,course,1,2.0,0,yes,yes,yes,no,5,3,3,3,0,12.0,11.0,12
GP,M,17.0,U,GT3,1,2,at_home,services,other,2,2.0,0,yes,yes,yes,no,4,4,4,5,16,10.0,11.0,12
GP,M,16.0,R,GT3,3,3,services,services,reputation,1,1.0,0,yes,yes,yes,no,4,3,2,5,0,11.0,10.0,10
GP,M,16.0,U,GT3,2,3,,other,home,2,1.0,0,no,yes,yes,no,5,3,3,3,0,11.362637362637363,12.0,12
GP,F,17.0,U,LE3,2,4,other,,course,1,2.0,0,yes,yes,yes,yes,4,3,2,5,8,4.0,15.0,16
GP,M,17.0,U,GT3,4,4,services,teacher,home,1,1.0,0,no,yes,yes,no,5,2,3,5,4,13.0,13.0,14
GP,M,16.0,R,LE3,3,3,teacher,other,home,3,1.0,0,yes,yes,yes,no,3,3,4,3,16,10.0,11.0,12
GP,F,17.0,U,GT3,4,4,services,teacher,home,2,1.0,1,no,yes,yes,no,4,2,4,2,30,14.0,15.0,16
GP,F,16.0,U,LE3,4,4,teacher,teacher,reputation,1,2.0,0,no,yes,yes,no,4,5,2,3,0,11.0,10.0,11
